cycle,ECG_a_P,ECG_P_b,ECG_b_c,ECG_c_Q,ECG_Q_R,ECG_R_S,ECG_S_d,ECG_d_e,ECG_e_T,ECG_T_f,ECG_S_T,ECG_P_peak,ECG_Q_peak,ECG_R_peak,ECG_S_peak,ECG_T_peak,ECG_RRI,TYPE,PR_interval,PR_segment,QRS_complex,ST_segment,QT_interval
2,0.035,0.037,0.073,0.002,0.059,0.031,0.001,0.221,0.035,0,0.257,0.041504,-0.04837,0.924225,-0.324707,0.100098,1.016,stroke,0.145,0.073,0.166,0.221,0.349
19,0.031,0.032,0.122,0.011,0.029,0.031,0.098,0.067,0.081,0,0.246,0.056152,-0.060272,1.39801,-0.55191,0.102844,0.819,stroke,0.185,0.122,0.291,0.067,0.317
0.053,0.032,0.226,0.02,0.028,0.045,0.042,0.039,0.101,0,0.182,0.119781,-0.060883,0.774536,-0.212708,0.114746,0.519,normal,0.311,0.226,0.361,0.039,0.275,
24,0.031,0.044,0.093,0.012,0.036,0.029,0.008,0.084,0.12,0,0.212,0.092926,-0.02182,1.01807,-0.302582,0.205231,1.032,stroke,0.168,0.093,0.178,0.084,0.289
28,0.05,0.074,0.039,0.002,0.033,0.031,0.042,0.133,0.031,0,0.206,0.061188,-0.078125,0.40741,-0.551758,0.078125,0.774,stroke,0.163,0.039,0.147,0.133,0.272
24,0.03,0.07,0.041,0.022,0.034,0.037,0.117,0.131,0.031,0,0.279,0.068665,-0.214691,1.37314,-0.441589,0.141754,1.062,stroke,0.141,0.041,0.251,0.131,0.372
0.048,0.052,0.054,0.013,0.028,0.054,0.055,0.109,0.046,0,0.21,0.071106,-0.070496,0.783691,-0.540161,0.165863,0.854,normal,0.154,0.054,0.204,0.109,0.305,
0.047,0.068,0.045,0.001,0.06,0.023,0.062,0.111,0.084,0,0.257,0.092621,-0.015411,1.32599,-0.943451,0.178528,0.943,normal,0.16,0.045,0.191,0.111,0.341,
0.041,0.038,0.083,0.011,0.028,0.04,0.155,,0.168,0,0.168,0.066223,-0.100861,1.45538,-0.478516,0.102692,0.721,stroke,0.162,0.083,0.317,,,
0.032,0.042,0.199,0.001,0.059,0.157,0.005,0.108,0.03,0,0.143,0.017395,-0.003662,0.032501,0.005188,0.731812,1.273,stroke,0.273,0.199,0.421,0.108,0.36,
39,0.031,0.067,0.022,0.001,0.06,0.035,0.086,0.056,0.079,0,0.221,0.127106,-0.028992,1.20331,-0.532684,0.183411,0.911,stroke,0.12,0.022,0.204,0.056,0.317
